member,material,burst_kHz,level,capture_index,selected
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_15.csv,5mM_Mn_nitrate_in_water,10,MAX,15,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_16.csv,5mM_Mn_nitrate_in_water,10,MAX,16,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_17.csv,5mM_Mn_nitrate_in_water,10,MAX,17,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_18.csv,5mM_Mn_nitrate_in_water,10,MAX,18,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_19.csv,5mM_Mn_nitrate_in_water,10,MAX,19,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_20.csv,5mM_Mn_nitrate_in_water,10,MAX,20,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_21.csv,5mM_Mn_nitrate_in_water,10,MAX,21,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_22.csv,5mM_Mn_nitrate_in_water,10,MAX,22,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_23.csv,5mM_Mn_nitrate_in_water,10,MAX,23,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_24.csv,5mM_Mn_nitrate_in_water,10,MAX,24,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_25.csv,5mM_Mn_nitrate_in_water,10,MAX,25,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_26.csv,5mM_Mn_nitrate_in_water,10,MAX,26,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_27.csv,5mM_Mn_nitrate_in_water,10,MAX,27,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_28.csv,5mM_Mn_nitrate_in_water,10,MAX,28,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_29.csv,5mM_Mn_nitrate_in_water,10,MAX,29,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_30.csv,5mM_Mn_nitrate_in_water,10,MAX,30,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_31.csv,5mM_Mn_nitrate_in_water,10,MAX,31,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_32.csv,5mM_Mn_nitrate_in_water,10,MAX,32,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_33.csv,5mM_Mn_nitrate_in_water,10,MAX,33,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_34.csv,5mM_Mn_nitrate_in_water,10,MAX,34,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_35.csv,5mM_Mn_nitrate_in_water,10,MAX,35,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_36.csv,5mM_Mn_nitrate_in_water,10,MAX,36,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_37.csv,5mM_Mn_nitrate_in_water,10,MAX,37,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_38.csv,5mM_Mn_nitrate_in_water,10,MAX,38,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_39.csv,5mM_Mn_nitrate_in_water,10,MAX,39,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_40.csv,5mM_Mn_nitrate_in_water,10,MAX,40,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_41.csv,5mM_Mn_nitrate_in_water,10,MAX,41,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_42.csv,5mM_Mn_nitrate_in_water,10,MAX,42,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_43.csv,5mM_Mn_nitrate_in_water,10,MAX,43,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_44.csv,5mM_Mn_nitrate_in_water,10,MAX,44,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_45.csv,5mM_Mn_nitrate_in_water,10,MAX,45,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_46.csv,5mM_Mn_nitrate_in_water,10,MAX,46,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_47.csv,5mM_Mn_nitrate_in_water,10,MAX,47,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_48.csv,5mM_Mn_nitrate_in_water,10,MAX,48,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_49.csv,5mM_Mn_nitrate_in_water,10,MAX,49,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_50.csv,5mM_Mn_nitrate_in_water,10,MAX,50,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_51.csv,5mM_Mn_nitrate_in_water,10,MAX,51,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_52.csv,5mM_Mn_nitrate_in_water,10,MAX,52,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_53.csv,5mM_Mn_nitrate_in_water,10,MAX,53,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_54.csv,5mM_Mn_nitrate_in_water,10,MAX,54,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_55.csv,5mM_Mn_nitrate_in_water,10,MAX,55,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_56.csv,5mM_Mn_nitrate_in_water,10,MAX,56,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_57.csv,5mM_Mn_nitrate_in_water,10,MAX,57,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_58.csv,5mM_Mn_nitrate_in_water,10,MAX,58,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_59.csv,5mM_Mn_nitrate_in_water,10,MAX,59,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_60.csv,5mM_Mn_nitrate_in_water,10,MAX,60,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_61.csv,5mM_Mn_nitrate_in_water,10,MAX,61,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_62.csv,5mM_Mn_nitrate_in_water,10,MAX,62,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_63.csv,5mM_Mn_nitrate_in_water,10,MAX,63,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_64.csv,5mM_Mn_nitrate_in_water,10,MAX,64,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_01.csv,5mM_Mn_nitrate_in_water,20,40,1,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_02.csv,5mM_Mn_nitrate_in_water,20,40,2,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_03.csv,5mM_Mn_nitrate_in_water,20,40,3,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_04.csv,5mM_Mn_nitrate_in_water,20,40,4,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_05.csv,5mM_Mn_nitrate_in_water,20,40,5,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_06.csv,5mM_Mn_nitrate_in_water,20,40,6,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_07.csv,5mM_Mn_nitrate_in_water,20,40,7,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_08.csv,5mM_Mn_nitrate_in_water,20,40,8,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_09.csv,5mM_Mn_nitrate_in_water,20,40,9,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_10.csv,5mM_Mn_nitrate_in_water,20,40,10,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_11.csv,5mM_Mn_nitrate_in_water,20,40,11,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_12.csv,5mM_Mn_nitrate_in_water,20,40,12,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_13.csv,5mM_Mn_nitrate_in_water,20,40,13,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_14.csv,5mM_Mn_nitrate_in_water,20,40,14,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_15.csv,5mM_Mn_nitrate_in_water,20,40,15,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_16.csv,5mM_Mn_nitrate_in_water,20,40,16,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_17.csv,5mM_Mn_nitrate_in_water,20,40,17,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_18.csv,5mM_Mn_nitrate_in_water,20,40,18,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_19.csv,5mM_Mn_nitrate_in_water,20,40,19,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_20.csv,5mM_Mn_nitrate_in_water,20,40,20,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_21.csv,5mM_Mn_nitrate_in_water,20,40,21,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_22.csv,5mM_Mn_nitrate_in_water,20,40,22,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_23.csv,5mM_Mn_nitrate_in_water,20,40,23,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_24.csv,5mM_Mn_nitrate_in_water,20,40,24,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_25.csv,5mM_Mn_nitrate_in_water,20,40,25,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_26.csv,5mM_Mn_nitrate_in_water,20,40,26,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/20 kHz/40% breakdown/0_4breakdown-0002/0_4breakdown-0002_27.csv,5mM_Mn_nitrate_in_water,20,40,27,False
