condition,material,burst_kHz,level,vpp,vpp_low,vpp_high,x,x_low,x_high,y,y_low,y_high
argon_only_20kHz,argon_only,20,60,2.5270669399999997,2.5270669399999997,2.5270669399999997,-0.69500492,-0.7146130645000002,-0.6436238910000001,45.7861712,45.7861712,45.7861712
argon_only_20kHz,argon_only,20,75,3.1588336199999993,3.1588336199999993,3.1588336199999993,-0.7582431139999999,-0.8214351572500002,-0.73843503925,55.271899999999995,55.271899999999995,55.2719
argon_only_20kHz,argon_only,20,90,3.7899851800000004,3.7899851800000004,3.7899851800000004,-1.0110728420000001,-1.0740649205000001,-0.97945373975,67.9195384,67.9195384,69.4943414
argon_only_20kHz,argon_only,20,100,3.9486959,3.751076475,4.04750565,-1.516486226,-1.5164862815,-0.537140144,104.21998080000002,44.0037528,105.20807755
argon_only_20kHz,argon_only,20,105,4.42175198,4.42175198,4.42175198,-3.743110252,-3.79060042,-1.4137241152500002,102.639026,101.65477412499999,102.639026
argon_only_20kHz,argon_only,20,115,4.8960383,4.8960383,4.8960383,-1.7217642999999998,-1.7691467935,-1.6349348165,134.25812200000001,132.67716719999999,135.8390768
pure_water_4kHz,pure_water,4,40,1.89468502,1.89468502,1.89468502,1.7840181910000004,1.74844671025,1.7998277380000005,36.3004426,36.300442399999994,37.2885393
pure_water_4kHz,pure_water,4,60,2.8432579,2.8432579,2.8432579,2.653543324,2.614019454,2.704924355,52.109990399999994,50.5290356,52.109990399999994
pure_water_4kHz,pure_water,4,75,3.47440934,3.47440934,3.47440934,3.2848178120000004,3.233467543,3.316390765,62.38619659999999,61.5957192,63.17667399999999
pure_water_4kHz,pure_water,4,90,4.4223671,4.4223671,4.4223671,-0.11054379849999998,-0.570227912,0.007874015500000001,53.690945199999994,38.77068433749999,59.323096675
pure_water_4kHz,pure_water,4,100,5.29066181,5.21161413,5.36970949,1.4764394670000003,1.148837353125,1.772430162125,69.88189015,43.21711965,92.591967125
pure_water_4kHz,pure_water,4,105,5.685900449999999,5.685900449999999,5.685900449999999,2.0845225985,1.20004920975,2.623708165875,81.7236717,49.540938849999996,104.5340961
pure_water_4kHz,pure_water,4,115,6.475762850000001,6.475762850000001,6.475762850000001,4.232775588999999,-1.6462229322500002,5.362081706750001,145.31865269999997,49.93617755,182.61333777500002
