condition,material,burst_kHz,member,capture_index,period_index,start_s,stop_s,midpoint_s,signed_raw_qv_energy_uJ,raw_qv_energy_uJ,apparent_power_using_capture_frequency_mW,detected_activity_on_fraction,closure_delta_V_kV,closure_delta_Q_nC,closure_contribution_fraction,detected_burst_Hz,detector_method,source_voltage_clipped,monitor_voltage_clipped,power_usable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,1,0.00044241597999999997,0.00069232796,0.00056737197,3735.2505613177436,3735.2505613177436,14940.046082335672,0.18976277167665176,0.15748031,0.0,0.00016598651954790212,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,2,0.0006924319599999999,0.0009423439500000001,0.000817387955,3658.5222991408355,3658.5222991408355,14633.152674805835,0.19101124359819613,0.0,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,3,0.00094244795,0.00119235994,0.0010674039449999999,3727.0740992484184,3727.0740992484184,14907.342327098675,0.19642114810097674,-0.15748031,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,4,0.0011924639399999999,0.0014423759199999999,0.00131741993,3777.638595724032,3777.638595724032,15109.587369318615,0.19309194381157732,0.0,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,5,0.00144247992,0.00169239191,0.001567435915,3698.430404537183,3698.430404537183,14792.774880570205,0.18976280409755503,0.0,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,6,0.00169249591,0.0019424079,0.0018174519050000002,3742.0730311145644,3742.0730311145644,14967.334215082485,0.1964211481009774,0.15748031,0.0,0.00016568389637436196,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,7,0.0019425119,0.00219242388,0.00206746789,3651.028909056912,3651.028909056912,14603.181032655211,0.1893466251597854,0.0,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,8,0.00219252788,0.00244243987,0.002317483875,3685.344921920718,3685.344921920718,14740.436299773468,0.19850188060204574,0.0,-7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,9,0.00244254387,0.00269245585,0.00256749986,3713.431777422991,3713.431777422991,14852.776532007802,0.19101125124133653,0.15748031,0.0,0.0001669617963852138,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,10,0.00269255985,0.00294247184,0.002817515845,3711.5717481687498,3711.5717481687498,14845.336891127845,0.18893051109712602,0.0,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
