condition,material,burst_kHz,member,capture_index,burst_index,target_charge_polarity,pin_voltage_polarity,amplitude_kV,duration_s,midpoint_s,nominal_directed_terminal_charge_nC,passive_background_nC,terminal_excess_nC,model_factor,model_dependent_charge_nC,halfcycle_average_equivalent_flow_per_s,above_passive_resolution_threshold,background_model,evidence_tier,factor_source
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,8,positive,1,3.975250346666666,3.0246104095062697e-06,0.0020453722627243234,95.4117869408134,66.86672249922248,28.545064441590924,1.0,28.545064441590924,5.890486860168551e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,9,positive,1,3.9225518133333335,3.015814210930324e-06,0.00229540993913475,100.65770475957581,67.04500453432539,33.61270022525042,1.0,33.61270022525042,6.956462129287208e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,10,positive,1,3.977218849666673,3.0184087202590575e-06,0.0025454252701914643,98.79955193058129,66.89618279944595,31.903369131135335,1.0,31.903369131135335,6.597024670693454e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,11,positive,1,3.977218849666673,3.018408720259491e-06,0.0027954412601914644,100.90389547651672,67.07209438779704,33.831801088719686,1.0,33.831801088719686,6.99578861150527e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,12,positive,1,3.9224569638333335,3.050400887073205e-06,0.0030454752862475844,96.7149007595898,66.73969259934499,29.975208160244804,1.0,29.975208160244804,6.1333097080406264e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,13,positive,1,3.975250346666666,3.0505258997925652e-06,0.003295491234979181,96.72200060560199,67.36831404010361,29.35368656549838,1.0,29.35368656549838,6.005892330889354e+16,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,14,positive,1,3.975250346666666,3.0505258997925652e-06,0.003545507224979181,89.47681471581254,67.09633059656991,22.380484119242624,1.0,22.380484119242624,4.579144688808463e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,15,positive,1,3.8982736096666737,3.0185269513987797e-06,0.00379553121861303,71.4801430131162,67.56145700648203,3.918686006634175,1.0,3.918686006634175,8102798041619469.0,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,16,positive,1,3.922449273333333,3.0521222776505944e-06,0.004045540094546232,81.34904134118041,67.19050403077867,14.15853731040174,1.0,14.15853731040174,2.8953833124925796e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,17,positive,1,3.975250346666666,3.06441076870171e-06,0.00429557073219968,78.17913372371333,67.85468896886937,10.324444754843967,1.0,10.324444754843967,2.10285501814199e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,18,positive,1,3.975250346666666,3.0522541912192044e-06,0.004545572039124894,73.45349773893832,67.38058929949794,6.072908439440383,1.0,6.072908439440383,1.2418399896764802e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
