member,level_label,carrier_Hz,record_duration_s,voltage_pp_kV,q_sign,current_sign,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_deg,current_Creactive_pF,current_G_uS,current_monitor_gain_ratio,current_monitor_phase_error_deg,monitor_x_Uqpp_kV,monitor_y_Qpp_nC,current_x_Uqpp_kV,current_y_Qpp_nC,skipped_rows,clipping_flag,quiet_both_edges
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_22.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.261291673210497,9.544953284197026,0.3377394563053499,-18.661854727796154,75.2373653601103,0.4409721086357776,2.5223122894643653,18.216455896601758,0.7567278535699999,88.43504,2.6218078522120005,201.30947909287863,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_26.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.358664682637855,9.605634967878915,0.3387195791965414,-18.712246815618293,75.38920273882295,0.745873827113547,2.5181159961333153,17.960430805039493,0.7567278535699999,88.43504,2.6218079137280004,201.20897767100058,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_30.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.35694738580216,9.724054452685717,0.3429161228247856,-18.927668208263558,75.68270158391537,0.643333733052921,2.524778080177625,18.28171423155544,0.7882081655400002,88.43504,2.621807975242,201.28419743467262,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_35.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.322452970771785,9.725614243677674,0.3433888390145556,-18.951899525175037,75.40627864132306,0.722908656768325,2.518298374074737,18.223394098048402,0.7566363156300001,88.43504,2.62179210418,201.43121947002965,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_39.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.12698027306138,9.608182919511089,0.34160022960990694,-18.860178835973272,75.38498156854612,0.6638626072592079,2.5364417571856905,18.190981960339144,0.75663631163,88.43504,2.6218236002420006,200.8000892906622,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_43.csv,60,119994.81622405129,0.01000032746,2.818083326260361,1,-1,28.297375047729385,9.661897173269463,0.34144146433980793,-18.852032424862546,75.7359989517927,0.7324133104983537,2.533066347657989,18.117162736522744,0.7881166276000001,88.43504,2.621807913726,201.30054653799976,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_47.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.17189364434101,9.669553355466832,0.3432340572324001,-18.943966223121105,75.43290256643716,0.5269415034169298,2.5326752030704904,18.41311913532701,0.7566363156300001,88.43504,2.621915152178,201.64744367185287,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_51.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.209428093773994,9.781404263672064,0.34674238099250526,-19.123598938147353,75.42960914727837,0.559018830984311,2.5264744049120136,18.560414206431233,0.7882239135700001,88.43504,2.6218079137280004,201.32192512495155,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_56.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.2923871199223,9.801523708255422,0.3464367876315959,-19.107967450522878,75.26317566162845,0.5939462685517678,2.513761949847719,18.508274368488316,0.7882239115699999,88.43504,2.621807913726,201.21909310332745,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_60.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.298782543300916,9.633628734573755,0.3404255543443615,-18.79988631030234,75.37996709088617,0.5682680614374823,2.5217341155868516,18.227007035851813,0.75675934563,88.43504,2.6218078522120005,201.2412532219609,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_64.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.27184007689653,9.5989270881545,0.33952254476703303,-18.75350816924206,75.16336659418957,0.6738679933049393,2.5176291532030683,18.07222381475691,0.78820816554,88.43504,2.621807852212,201.09751543698923,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_01.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.789777286963375,9.452490893982722,0.34014273653128685,-18.78536366797337,74.57434619182345,0.5688334596602371,2.5407004506904496,18.20571993820485,0.9459154086440001,107.3818904,3.285487275888,249.44426496599016,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_05.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.86096106276968,9.382688810725876,0.33676831138692725,-18.61189468892042,74.66745041283016,0.35323344749267566,2.539894364814416,18.252389570947543,0.945899597096,107.3818904,3.28557858176,249.49687269266917,0,False,False
